"source page","source page title","가게명","종류","평점","리뷰","주소","지번","운영시간","링크","전화번호"
"https://map.kakao.com/","카카오맵","일상다반","일식집","2.9","https://place.map.kakao.com/27325995#review","서울 노원구 동일로186길 77-17","(지번) 공릉동 504-28","월~금 14:30 ~ 17:00","https://place.map.kakao.com/27325995?openhour=1","02-971-0666"
"https://map.kakao.com/","카카오맵","기린","일본식라면","4.4","https://place.map.kakao.com/270488437#review","서울 노원구 공릉로 209","(지번) 공릉동 441-18","월~토 11:30 ~ 20:30 · 휴게시간 월~토 15:00 ~ 17:00","https://place.map.kakao.com/270488437?openhour=1",""
"https://map.kakao.com/","카카오맵","공릉우동집","돈까스,우동","3.8","https://place.map.kakao.com/16555583#review","서울 노원구 동일로192길 42","(지번) 공릉동 392-1","월~토 11:00 ~ 02:00","https://place.map.kakao.com/16555583?openhour=1","02-976-1199"
"https://map.kakao.com/","카카오맵","네코정","일식","3.9","https://place.map.kakao.com/1422521863#review","서울 노원구 동일로192길 77 동신아파트 104동 상가 2층","(지번) 공릉동 745","월~토 14:30 ~ 16:00","https://place.map.kakao.com/1422521863?openhour=1","070-4110-5224"
"https://map.kakao.com/","카카오맵","로지다이닝키친","일식","4.3","https://place.map.kakao.com/395667039#review","서울 노원구 공릉로43길 18 1층","(지번) 공릉동 408-125","월~토 11:30 ~ 21:00 · 휴게시간 월~토 15:00 ~ 17:00","https://place.map.kakao.com/395667039?openhour=1","02-974-0100"
"https://map.kakao.com/","카카오맵","참치세상","참치회","4.7","https://place.map.kakao.com/24064837#review","서울 노원구 공릉로 204","(지번) 공릉동 705","영업시간 월~금 17:30 ~ 02:00","https://place.map.kakao.com/24064837?openhour=1",""
"https://map.kakao.com/","카카오맵","아이엠돈까스","돈까스,우동","3.8","https://place.map.kakao.com/27404804#review","서울 노원구 동일로198길 64 1층","(지번) 공릉동 431-2","월 11:20 ~ 15:00","https://place.map.kakao.com/27404804?openhour=1","02-976-0316"
"https://map.kakao.com/","카카오맵","스시쟁이","초밥,롤","2.8","https://place.map.kakao.com/21766457#review","서울 노원구 공릉로 197","(지번) 공릉동 424-4","매일 11:30 ~ 24:00","https://place.map.kakao.com/21766457?openhour=1","02-972-5944"
"https://map.kakao.com/","카카오맵","로지스시 공릉점","일식","4.0","https://place.map.kakao.com/27473705#review","서울 노원구 동일로192길 87 2층","(지번) 공릉동 441-152","월~토 13:30 ~ 17:00","https://place.map.kakao.com/27473705?openhour=1","02-972-4003"
"https://map.kakao.com/","카카오맵","맛보면못참치","참치회","5.0","https://place.map.kakao.com/27442498#review","서울 노원구 동일로192길 77 동신아파트 104동 상가 202호","(지번) 공릉동 745","월~토 11:30 ~ 24:00","https://place.map.kakao.com/27442498?openhour=1","02-949-3779"
"https://map.kakao.com/","카카오맵","숲속왕돈까스","돈까스,우동","4.3","https://place.map.kakao.com/20748264#review","서울 노원구 공릉로51길 4 2층","(지번) 공릉동 440-18","월~토 10:00 ~ 22:00","https://place.map.kakao.com/20748264?openhour=1","010-9156-0711"
"https://map.kakao.com/","카카오맵","참치여라","참치회","4.1","https://place.map.kakao.com/614570625#review","서울 노원구 동일로193길 8 신대림아파트 상가 1층 101호","(지번) 공릉동 379-9","영업시간 월~토 17:00 ~ 23:00","https://place.map.kakao.com/614570625?openhour=1","010-6831-4139"
"https://map.kakao.com/","카카오맵","길동우동 공릉점","돈까스,우동","3.5","https://place.map.kakao.com/959006328#review","서울 노원구 동일로192길 5 1층","(지번) 공릉동 386-6","월,수,목,금,토,일 09:30 ~ 23:00","https://place.map.kakao.com/959006328?openhour=1","02-949-8828"
"https://map.kakao.com/","카카오맵","바우네수제왕돈까스","돈까스,우동","4.2","https://place.map.kakao.com/27322801#review","서울 노원구 공릉로 239","(지번) 공릉동 172-4","","https://map.kakao.com/#","02-973-9431"
"https://map.kakao.com/","카카오맵","몽키 본점","돈까스,우동","4.1","https://place.map.kakao.com/27322570#review","서울 노원구 공릉로 223","(지번) 공릉동 440-16","","https://map.kakao.com/#","02-973-3545"
"https://map.kakao.com/","카카오맵","호시타코야끼 공릉점","일식","3.0","https://place.map.kakao.com/1249584446#review","서울 노원구 공릉로 208 1층 10호","(지번) 공릉동 208-18","매일 12:00 ~ 02:00","https://place.map.kakao.com/1249584446?openhour=1",""
"https://map.kakao.com/","카카오맵","반갑다연어야 공릉점","일식","2.8","https://place.map.kakao.com/950204443#review","서울 노원구 공릉로 207","(지번) 공릉동 441-19","월~토 11:30 ~ 03:00","https://place.map.kakao.com/950204443?openhour=1","02-972-9590"
"https://map.kakao.com/","카카오맵","돈까스회관 공릉점","돈까스,우동","4.0","https://place.map.kakao.com/229652101#review","서울 노원구 공릉로 204 상가동 1층 101호","(지번) 공릉동 705","매일 10:00 ~ 21:00","https://place.map.kakao.com/229652101?openhour=1","02-975-5880"
"https://map.kakao.com/","카카오맵","정직유부 공릉점","초밥,롤","5.0","https://place.map.kakao.com/1258239562#review","서울 노원구 공릉로 204 상가동 1층 104호","(지번) 공릉동 705","월~토 08:30 ~ 20:00 · 휴게시간 월~토 15:00 ~ 16:00","https://place.map.kakao.com/1258239562?openhour=1","02-977-6566"
"https://map.kakao.com/","카카오맵","스시요이","초밥,롤","0.0","https://place.map.kakao.com/27405105#review","서울 노원구 동일로192길 42 웰빙타워 2층","(지번) 공릉동 392-1","","https://map.kakao.com/#",""
"https://map.kakao.com/","카카오맵","모두의유부","일식","5.0","https://place.map.kakao.com/66506688#review","서울 노원구 공릉로 208 1층 6호","(지번) 공릉동 208-18","월~금 10:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 16:00","https://place.map.kakao.com/66506688?openhour=1","070-8860-8697"
"https://map.kakao.com/","카카오맵","스시타카다","초밥,롤","0.0","https://place.map.kakao.com/26473805#review","서울 노원구 동일로186길 54","(지번) 공릉동 509-1","월요일","https://place.map.kakao.com/26473805?openhour=1","02-975-5554"
"https://map.kakao.com/","카카오맵","도쿄식탁","일식","3.6","https://place.map.kakao.com/1208428590#review","서울 노원구 공릉로46길 9 2층","(지번) 공릉동 422-2","월~토 11:00 ~ 21:00 · 휴게시간 월~토 15:00 ~ 17:00","https://place.map.kakao.com/1208428590?openhour=1","02-977-8762"
"https://map.kakao.com/","카카오맵","미소야 공릉점","돈까스,우동","1.7","https://place.map.kakao.com/7889776#review","서울 노원구 공릉로46길 6 현대프라자 1층 105호","(지번) 공릉동 421-19","매일 11:30 ~ 22:00","https://place.map.kakao.com/7889776?openhour=1","02-948-5840"
"https://map.kakao.com/","카카오맵","오이시타코야끼 공릉점","일식","0.0","https://place.map.kakao.com/120233753#review","서울 노원구 동일로192길 90","(지번) 공릉동 441-25","","https://map.kakao.com/#","0507-899-2307"
"https://map.kakao.com/","카카오맵","카츠와이찌","돈까스,우동","0.0","https://place.map.kakao.com/58072237#review","서울 노원구 공릉로43길 11 1층","(지번) 공릉동 408-138","","https://map.kakao.com/#","070-4833-0106"
"https://map.kakao.com/","카카오맵","미야코","일식집","4.0","https://place.map.kakao.com/16298911#review","서울 노원구 동일로192길 11","(지번) 공릉동 386-2","","https://map.kakao.com/#","02-949-0003"
"https://map.kakao.com/","카카오맵","이비꼬 공릉역점","일식집","0.0","https://place.map.kakao.com/2078139299#review","서울 노원구 동일로 1078","(지번) 공릉동 386-1","","https://map.kakao.com/#",""
"https://map.kakao.com/","카카오맵","혼참치 노원점","일식","0.0","https://place.map.kakao.com/1400676933#review","서울 노원구 동일로196길 14","(지번) 공릉동 375-9","","https://map.kakao.com/#",""
